RSO Name,Committee,Request Description,Type,Requested,Final Allocation
JGrads Chabad at UChicago,sgfc,Counting of the Omer Lecture,,1500.0,1500.0
Minorities in Public Policy Studies,sgfc,Annual Minorities in Public Policy Gala SGFC Funding Request,,3000.0,3000.0
International Student Organization,sgfc,"Spanish Language Day: Stories, Culture, and Connection",,600.0,480.0
Graduate Christian Fellowship,sgfc,Year-End-BBQ,,366.0,366.0
Midwave Radio,sgfc,The UChicago Arts and Culture Festival,,2802.25,2802.25
Hong Kong Student Association,sgfc,HKSA Spring Quarter Dimsum Cultural Night,,798.5,848.5
Society of Women in Physics,sgfc,Pizza with Professors 2026,,498.14,498.14
Everest Society,sgfc,Everest Education Panelist Program Funding Request,,4181.1,3602.5
The Classics Society,sgfc,Classics Society Faculty Dinner and Workshop,,500.0,60.0
Taiwanese American Student Association,sgfc,TASA Formal,,1631.0,1631.0
Chicago Shady Dealer,sgfc,Funding for Spring,,844.0,845.2
UChicago Barbershop Harmony Club,sgfc,Instant Classic Trip,,400.0,320.0
UChicago Barbershop Harmony Club,sgfc,Vocal Spectrum Trip,,400.0,320.0
PULSE Magazine,sgfc,PULSE Launch Party 2026,,188.35,188.35
Argentine Tango Club,sgfc,Bachata Workshops,,1047.0,624.5
Argentine Tango Club,sgfc,End of Year Milonga,,1647.0,1550.0
UChicago Barbershop Harmony Club,sgfc,UBHC Barbershop Showcase,,200.0,200.0
UChicago Space Program,sgfc,UCSP Weekly Work Sessions Food Request,,1500.0,750.0
Quad Capital Management,sgfc,UChicago Endowment Presentation: Quad Capital Management,,1025.0,555.0
Quad Capital Management,sgfc,Travel Request: Quad Capital Management Presentation,,2420.0,0.0
Ukrainian Society,sgfc,Ukrainian Shashlyky BBQ,,426.0,421.0
UChicago Barbershop Harmony Club,sgfc,First Take Trip,,240.0,240.0
UChicago Coffee Lab,sgfc,UChicago Coffee Club End of Year Cupping Event,,1090.0,1090.0
United Against Inequities in Disease,csf,Summer Chair Yoga Workshops for Seniors,,1463.0,0.0
United Against Inequities in Disease,csf,Fall Chair Yoga Workshops for Seniors,,1140.79,0.0
Project Reproductive Freedom,csf,Period Packing Kit Event,,260.0,260.0
American Lung Cancer Screening Initiative,csf,ALCSI Fall Quarter Allocation Request,,1058.0,400.0
United Against Inequities in Disease,csf,CSF Request for Jingle & Mingle Wellness Fair,,1500.0,800.0
Food Run Project,csf,Feeding the Community! Food Run Project Funding.,,1940.0,660.0
UChicago Harm Reduction Project,csf,Community Service Fund Application,,518.93,518.93
United Against Inequities in Disease,csf,Fall Chair Yoga Workshops for Seniors,,796.88,628.88
CityStep UChicago,csf,CSF - Holiday Showings for CityStep Dance Classes,,249.2,206.15
