RSO Name,Request Description,Type,Requested,Final Allocation
Black Student Fellowship,Week 3 BSF Food,Event,156.89,78.45
UChicago Survivor Production,"Funding Request---Season 5 Screening Room Reservation, March 26, 2026",Other,140.0,140.0
neXus Dance Collective,neXus - Spring Showcase Funding,Event,1656.4,1656.4
Muslim Students Association,Quran Club Meals,Other,2789.28,1239.68
Game Music Ensemble,Square Enix Concert,Event,1190.0,1190.0
CS Student Activities Council,Uncommon Hacks,Event,4050.0,0.0
UChicago Bhangra,Bhangra in the 404 Competition,Travel,5942.0,3104.5
"Kheyal, Bengali Student Association",Drama rehearsals,Other,8450.0,1237.5
Remedy,REMEDY SGFC 2025-26 Application,Travel,13452.35,0.0
JGrads Chabad at UChicago,Shavuot Scholar in Residence,Event,1417.9,1417.9
JGrads Chabad at UChicago,Counting of the Omer Lecture,Event,1500.0,1500.0
Minorities in Public Policy Studies,Annual Minorities in Public Policy Gala SGFC Funding Request,Event,3000.0,3000.0
International Student Organization,"Spanish Language Day: Stories, Culture, and Connection",Event,600.0,480.0
Graduate Christian Fellowship,Year-End-BBQ,Event,366.0,366.0
Midwave Radio,The UChicago Arts and Culture Festival,Event,2802.25,2802.25
Hong Kong Student Association,HKSA Spring Quarter Dimsum Cultural Night,Event,798.5,848.5
Society of Women in Physics,Pizza with Professors 2026,Event,498.14,498.14
Everest Society,Everest Education Panelist Program Funding Request,Event,4181.1,3602.5
The Classics Society,Classics Society Faculty Dinner and Workshop,Event,500.0,60.0
Taiwanese American Student Association,TASA Formal,Event,1631.0,1631.0
Chicago Shady Dealer,Funding for Spring,Other,844.0,845.2
UChicago Barbershop Harmony Club,Instant Classic Trip,Travel,400.0,320.0
UChicago Barbershop Harmony Club,Vocal Spectrum Trip,Travel,400.0,320.0
PULSE Magazine,PULSE Launch Party 2026,Event,188.35,188.35
Argentine Tango Club,Bachata Workshops,Event,1047.0,624.5
Argentine Tango Club,End of Year Milonga,Event,1647.0,1550.0
UChicago Barbershop Harmony Club,UBHC Barbershop Showcase,Event,200.0,200.0
UChicago Space Program,UCSP Weekly Work Sessions Food Request,Event,1500.0,750.0
